 ,Area,Mean,Min,Max,SUM_Nup133_TET_01_R3D_D3D.tifnuclei_GCN4.csv
6,0.714,6407.459,4024,10989,SUM_Nup133_UN_03_R3D_D3D.tifnuclei_GCN4.csv
7,1.121,6972.547,4660,15708,SUM_Nup133_UN_03_R3D_D3D.tifnuclei_GCN4.csv
8,0.827,15801.305,9315,29379,SUM_Nup133_UN_03_R3D_D3D.tifnuclei_GCN4.csv
9,1.810,15055.336,8813,27015,SUM_Nup133_UN_03_R3D_D3D.tifnuclei_GCN4.csv
10,1.323,11982.394,6851,21220,SUM_Nup133_UN_03_R3D_D3D.tifnuclei_GCN4.csv
11,0.760,13511.199,7274,21617,SUM_Nup133_UN_03_R3D_D3D.tifnuclei_GCN4.csv
12,1.256,18860.923,9429,48348,SUM_Nup133_UN_03_R3D_D3D.tifnuclei_GCN4.csv
13,1.667,19704.355,9342,33625,SUM_Nup133_UN_03_R3D_D3D.tifnuclei_GCN4.csv
14,1.390,17287.553,8874,32796,SUM_Nup133_UN_03_R3D_D3D.tifnuclei_GCN4.csv
15,2.213,29762.918,15151,51925,SUM_Nup133_UN_03_R3D_D3D.tifnuclei_GCN4.csv
16,1.327,6284.209,4510,13109,SUM_Nup133_UN_03_R3D_D3D.tifnuclei_GCN4.csv
17,1.457,29202.147,12921,63650,SUM_Nup133_UN_03_R3D_D3D.tifnuclei_GCN4.csv
18,1.457,9775.037,7162,15287,SUM_Nup133_UN_03_R3D_D3D.tifnuclei_GCN4.csv
19,2.112,15829.537,9115,30919,SUM_Nup133_UN_03_R3D_D3D.tifnuclei_GCN4.csv
20,1.915,14017.118,6832,33379,SUM_Nup133_UN_03_R3D_D3D.tifnuclei_GCN4.csv
21,1.394,28814.283,14324,46889,SUM_Nup133_UN_03_R3D_D3D.tifnuclei_GCN4.csv
22,1.193,9808.405,5807,24423,SUM_Nup133_UN_03_R3D_D3D.tifnuclei_GCN4.csv
23,1.759,14563.730,6239,28091,SUM_Nup133_UN_03_R3D_D3D.tifnuclei_GCN4.csv
24,1.125,12562.940,8177,18073,SUM_Nup133_UN_03_R3D_D3D.tifnuclei_GCN4.csv
25,1.298,16578.097,9703,32736,SUM_Nup133_UN_03_R3D_D3D.tifnuclei_GCN4.csv
26,1.117,17871.868,7979,29933,SUM_Nup133_UN_03_R3D_D3D.tifnuclei_GCN4.csv
27,1.377,18755.628,10847,31729,SUM_Nup133_UN_03_R3D_D3D.tifnuclei_GCN4.csv
28,1.533,27876.847,13808,43858,SUM_Nup133_UN_03_R3D_D3D.tifnuclei_GCN4.csv
29,0.983,8399.269,4555,21137,SUM_Nup133_UN_03_R3D_D3D.tifnuclei_GCN4.csv
30,1.298,17590.434,7102,95012,SUM_Nup133_UN_03_R3D_D3D.tifnuclei_GCN4.csv
31,1.226,9332.887,6223,16864,SUM_Nup133_UN_03_R3D_D3D.tifnuclei_GCN4.csv
 ,Area,Mean,Min,Max,SUM_Nup133_UN_04_R3D_D3D.tifnuclei_GCN4.csv
1,1.214,25540.675,11195,44716,SUM_Nup133_UN_04_R3D_D3D.tifnuclei_GCN4.csv
2,1.277,15501.799,10035,27878,SUM_Nup133_UN_04_R3D_D3D.tifnuclei_GCN4.csv
3,1.680,8730.222,6051,21060,SUM_Nup133_UN_04_R3D_D3D.tifnuclei_GCN4.csv
4,0.995,5596.097,3758,13200,SUM_Nup133_UN_04_R3D_D3D.tifnuclei_GCN4.csv
5,0.911,6137.488,3777,9432,SUM_Nup133_UN_04_R3D_D3D.tifnuclei_GCN4.csv
6,2.213,22905.203,9797,47423,SUM_Nup133_UN_04_R3D_D3D.tifnuclei_GCN4.csv
7,1.205,18685.328,9099,30862,SUM_Nup133_UN_04_R3D_D3D.tifnuclei_GCN4.csv
8,1.151,6596.858,4071,16257,SUM_Nup133_UN_04_R3D_D3D.tifnuclei_GCN4.csv
9,1.285,17525.980,10864,31331,SUM_Nup133_UN_04_R3D_D3D.tifnuclei_GCN4.csv
10,1.545,10546.611,5893,19871,SUM_Nup133_UN_04_R3D_D3D.tifnuclei_GCN4.csv
11,1.142,7535.081,4931,12548,SUM_Nup133_UN_04_R3D_D3D.tifnuclei_GCN4.csv
12,2.356,19962.850,11038,38646,SUM_Nup133_UN_04_R3D_D3D.tifnuclei_GCN4.csv
13,2.595,20088.866,7390,42095,SUM_Nup133_UN_04_R3D_D3D.tifnuclei_GCN4.csv
14,2.650,20220.184,10018,72446,SUM_Nup133_UN_04_R3D_D3D.tifnuclei_GCN4.csv
15,1.260,13189.527,6988,33743,SUM_Nup133_UN_04_R3D_D3D.tifnuclei_GCN4.csv
16,1.650,12675.417,6857,21752,SUM_Nup133_UN_04_R3D_D3D.tifnuclei_GCN4.csv
17,1.335,18122.862,7139,40668,SUM_Nup133_UN_04_R3D_D3D.tifnuclei_GCN4.csv
18,1.104,14795.791,8169,24195,SUM_Nup133_UN_04_R3D_D3D.tifnuclei_GCN4.csv
19,1.314,23952.658,8952,43970,SUM_Nup133_UN_04_R3D_D3D.tifnuclei_GCN4.csv
20,2.393,19087.233,8016,67244,SUM_Nup133_UN_04_R3D_D3D.tifnuclei_GCN4.csv
21,1.197,17841.916,9716,35403,SUM_Nup133_UN_04_R3D_D3D.tifnuclei_GCN4.csv
22,1.419,20082.592,8830,31573,SUM_Nup133_UN_04_R3D_D3D.tifnuclei_GCN4.csv
23,1.625,16021.928,7095,37689,SUM_Nup133_UN_04_R3D_D3D.tifnuclei_GCN4.csv
24,0.974,5892.810,3972,11001,SUM_Nup133_UN_04_R3D_D3D.tifnuclei_GCN4.csv
25,1.386,12246.385,6566,22759,SUM_Nup133_UN_04_R3D_D3D.tifnuclei_GCN4.csv
26,1.134,10379.033,7023,18404,SUM_Nup133_UN_04_R3D_D3D.tifnuclei_GCN4.csv
27,1.344,6287.925,4065,10842,SUM_Nup133_UN_04_R3D_D3D.tifnuclei_GCN4.csv
 ,Area,Mean,Min,Max,SUM_Nup133_UN_05_R3D_D3D.tifnuclei_GCN4.csv
1,1.167,11417.374,7894,14697,SUM_Nup133_UN_05_R3D_D3D.tifnuclei_GCN4.csv
2,1.050,19271.468,9364,37134,SUM_Nup133_UN_05_R3D_D3D.tifnuclei_GCN4.csv
3,1.348,24550.081,12659,54567,SUM_Nup133_UN_05_R3D_D3D.tifnuclei_GCN4.csv
4,1.423,18857.053,10475,39726,SUM_Nup133_UN_05_R3D_D3D.tifnuclei_GCN4.csv
5,1.247,8105.576,5160,13255,SUM_Nup133_UN_05_R3D_D3D.tifnuclei_GCN4.csv
6,1.747,22281.875,11930,38090,SUM_Nup133_UN_05_R3D_D3D.tifnuclei_GCN4.csv
7,0.945,11321.462,7071,22223,SUM_Nup133_UN_05_R3D_D3D.tifnuclei_GCN4.csv
8,1.025,16030.607,6977,30873,SUM_Nup133_UN_05_R3D_D3D.tifnuclei_GCN4.csv
9,1.533,21386.751,10542,35652,SUM_Nup133_UN_05_R3D_D3D.tifnuclei_GCN4.csv
10,1.083,20875.922,11072,50344,SUM_Nup133_UN_05_R3D_D3D.tifnuclei_GCN4.csv
11,0.516,11866.772,5017,28049,SUM_Nup133_UN_05_R3D_D3D.tifnuclei_GCN4.csv
12,1.360,20405.481,12030,55394,SUM_Nup133_UN_05_R3D_D3D.tifnuclei_GCN4.csv
13,2.091,18216.016,11477,44339,SUM_Nup133_UN_05_R3D_D3D.tifnuclei_GCN4.csv
14,1.940,23740.569,11239,41899,SUM_Nup133_UN_05_R3D_D3D.tifnuclei_GCN4.csv
15,2.360,10977.468,8556,16243,SUM_Nup133_UN_05_R3D_D3D.tifnuclei_GCN4.csv
16,0.693,13646.552,10088,24201,SUM_Nup133_UN_05_R3D_D3D.tifnuclei_GCN4.csv
17,1.852,21100.791,10231,51475,SUM_Nup133_UN_05_R3D_D3D.tifnuclei_GCN4.csv
18,1.020,7422.029,5011,14126,SUM_Nup133_UN_05_R3D_D3D.tifnuclei_GCN4.csv
19,1.713,9836.304,5988,16258,SUM_Nup133_UN_05_R3D_D3D.tifnuclei_GCN4.csv
20,2.280,21658.396,7705,36962,SUM_Nup133_UN_05_R3D_D3D.tifnuclei_GCN4.csv
21,1.113,16123.396,7773,52250,SUM_Nup133_UN_05_R3D_D3D.tifnuclei_GCN4.csv
22,1.940,17201.452,8126,30093,SUM_Nup133_UN_05_R3D_D3D.tifnuclei_GCN4.csv
23,1.407,13723.675,6662,23638,SUM_Nup133_UN_05_R3D_D3D.tifnuclei_GCN4.csv
24,1.927,17915.627,9100,40264,SUM_Nup133_UN_05_R3D_D3D.tifnuclei_GCN4.csv
25,0.878,5249.301,3796,10892,SUM_Nup133_UN_05_R3D_D3D.tifnuclei_GCN4.csv
26,0.987,16638.485,9473,25753,SUM_Nup133_UN_05_R3D_D3D.tifnuclei_GCN4.csv
27,2.477,17921.612,9706,28561,SUM_Nup133_UN_05_R3D_D3D.tifnuclei_GCN4.csv
 ,Area,Mean,Min,Max,SUM_Nup133_UN_06_R3D_D3D.tifnuclei_GCN4.csv
1,1.235,10145.912,6298,21412,SUM_Nup133_UN_06_R3D_D3D.tifnuclei_GCN4.csv
2,1.449,10433.246,5788,18647,SUM_Nup133_UN_06_R3D_D3D.tifnuclei_GCN4.csv
3,1.407,12302.660,5919,22785,SUM_Nup133_UN_06_R3D_D3D.tifnuclei_GCN4.csv
4,1.419,12695.349,8330,18806,SUM_Nup133_UN_06_R3D_D3D.tifnuclei_GCN4.csv
5,1.415,13785.047,9546,21930,SUM_Nup133_UN_06_R3D_D3D.tifnuclei_GCN4.csv
6,1.419,10103.820,5855,14341,SUM_Nup133_UN_06_R3D_D3D.tifnuclei_GCN4.csv
7,1.491,15641.146,7278,25587,SUM_Nup133_UN_06_R3D_D3D.tifnuclei_GCN4.csv
8,1.331,12456.558,8030,18851,SUM_Nup133_UN_06_R3D_D3D.tifnuclei_GCN4.csv
9,2.070,14164.655,7877,19767,SUM_Nup133_UN_06_R3D_D3D.tifnuclei_GCN4.csv
10,1.310,6698.003,5228,10093,SUM_Nup133_UN_06_R3D_D3D.tifnuclei_GCN4.csv
11,1.625,16389.548,7844,33428,SUM_Nup133_UN_06_R3D_D3D.tifnuclei_GCN4.csv
12,1.386,11388.264,7688,15561,SUM_Nup133_UN_06_R3D_D3D.tifnuclei_GCN4.csv
13,1.377,12423.598,7290,33082,SUM_Nup133_UN_06_R3D_D3D.tifnuclei_GCN4.csv
14,1.058,6947.060,4361,12979,SUM_Nup133_UN_06_R3D_D3D.tifnuclei_GCN4.csv
15,1.478,13477.636,8999,20881,SUM_Nup133_UN_06_R3D_D3D.tifnuclei_GCN4.csv
16,1.197,4145.635,2848,5992,SUM_Nup133_UN_06_R3D_D3D.tifnuclei_GCN4.csv
17,1.419,11299.731,5977,20483,SUM_Nup133_UN_06_R3D_D3D.tifnuclei_GCN4.csv
18,1.881,13408.520,8213,21510,SUM_Nup133_UN_06_R3D_D3D.tifnuclei_GCN4.csv
19,1.587,15081.944,9307,26535,SUM_Nup133_UN_06_R3D_D3D.tifnuclei_GCN4.csv
20,2.393,12958.914,8065,23042,SUM_Nup133_UN_06_R3D_D3D.tifnuclei_GCN4.csv
21,2.230,13837.874,6176,22061,SUM_Nup133_UN_06_R3D_D3D.tifnuclei_GCN4.csv
22,1.680,14976.310,9731,23277,SUM_Nup133_UN_06_R3D_D3D.tifnuclei_GCN4.csv
23,2.469,13354.289,6581,23652,SUM_Nup133_UN_06_R3D_D3D.tifnuclei_GCN4.csv
24,2.007,13433.586,9036,22009,SUM_Nup133_UN_06_R3D_D3D.tifnuclei_GCN4.csv
25,1.419,12347.343,6513,17774,SUM_Nup133_UN_06_R3D_D3D.tifnuclei_GCN4.csv
26,1.381,6329.726,4149,10259,SUM_Nup133_UN_06_R3D_D3D.tifnuclei_GCN4.csv
27,1.671,13595.131,8204,21154,SUM_Nup133_UN_06_R3D_D3D.tifnuclei_GCN4.csv
28,1.394,15009.205,7563,23030,SUM_Nup133_UN_06_R3D_D3D.tifnuclei_GCN4.csv
29,1.507,15401.429,7874,23576,SUM_Nup133_UN_06_R3D_D3D.tifnuclei_GCN4.csv
30,1.285,5413.680,3597,9778,SUM_Nup133_UN_06_R3D_D3D.tifnuclei_GCN4.csv
31,2.070,11216.448,4588,18064,SUM_Nup133_UN_06_R3D_D3D.tifnuclei_GCN4.csv
32,1.520,5288.345,3735,7341,SUM_Nup133_UN_06_R3D_D3D.tifnuclei_GCN4.csv
33,1.810,6319.949,4118,9411,SUM_Nup133_UN_06_R3D_D3D.tifnuclei_GCN4.csv
34,1.621,8138.386,4252,15740,SUM_Nup133_UN_06_R3D_D3D.tifnuclei_GCN4.csv
35,1.743,16947.277,8377,45471,SUM_Nup133_UN_06_R3D_D3D.tifnuclei_GCN4.csv
36,1.222,8060.595,4484,11791,SUM_Nup133_UN_06_R3D_D3D.tifnuclei_GCN4.csv
 ,Area,Mean,Min,Max,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
1,1.323,11304.229,5382,17596,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
2,1.251,13798.074,6267,36296,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
3,1.591,15288.319,8733,20982,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
4,1.344,12659.847,7739,19149,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
5,1.083,12708.787,6565,33574,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
6,1.327,15583.699,7238,23600,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
7,1.230,9359.229,5830,17929,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
8,1.260,7453.560,4471,12399,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
9,1.235,13581.003,8063,26642,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
10,1.717,12116.186,5989,21253,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
11,1.033,9993.215,6509,16345,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
12,1.235,13430.415,5794,21563,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
13,1.373,6206.514,3898,13827,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
14,1.680,7006.677,4381,18261,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
15,1.520,9854.633,5490,20485,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
16,0.978,5589.064,3500,9346,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
17,1.243,8541.780,6042,10258,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
18,2.339,14009.697,5921,24406,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
19,1.835,15040.295,5796,27884,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
20,1.096,10610.847,6843,20056,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
21,0.840,14384.680,5198,20885,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
22,1.911,12145.787,6555,24983,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
23,1.654,17476.442,7879,26456,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
24,1.083,6660.484,4291,13786,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
25,1.239,13843.315,6626,24736,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
26,1.432,15377.364,9101,26589,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
27,0.957,9062.987,5088,17384,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
28,2.142,15268.084,5993,25107,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
29,1.940,14088.054,5852,34608,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
30,2.045,7983.969,5017,13880,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
31,1.444,14127.201,6237,32486,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
32,2.326,13274.170,5237,39579,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
33,1.130,6723.528,4750,12057,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
34,1.159,14641.181,9551,38458,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
35,1.054,9652.012,5844,16434,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
36,1.381,7829.888,5605,14806,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
37,1.146,11321.121,6496,26610,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
38,1.751,6177.741,3872,13266,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
39,1.281,11651.580,6015,25704,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
40,2.074,17806.379,10097,43255,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
41,1.684,10957.908,7001,18189,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
42,1.465,15781.238,9561,25068,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
43,1.130,10459.929,6210,19404,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
44,1.209,6528.264,4248,10415,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
45,1.348,13905.470,7430,25320,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
46,1.478,12879.463,6153,21838,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
47,1.680,17778.208,11291,42235,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
48,1.281,16545.649,9184,29969,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
49,1.012,7118.988,5164,12824,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
50,0.915,4672.876,3585,5660,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
51,1.432,14485.141,6477,27148,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
52,1.184,15155.199,8037,56541,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
53,2.360,15331.454,8591,39894,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
54,1.096,7728.330,4555,19864,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
55,1.251,8479.097,5390,12847,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
56,1.130,10635.015,6462,17840,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
57,1.327,14923.528,8482,32492,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
58,1.327,12333.006,7570,25419,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
59,1.969,8776.213,6393,15743,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
60,1.646,11883.357,7566,72609,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
61,1.016,15824.483,8595,40205,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
62,1.272,12751.980,5088,22466,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
63,1.020,4940.280,3767,7086,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
64,1.554,8091.111,5030,14967,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
65,1.239,12234.485,6817,20483,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
66,1.167,11619.612,6480,25229,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
67,2.112,15045.744,5907,42483,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
68,1.100,14714.435,9327,25868,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
69,1.163,8769.029,5260,15712,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
70,1.125,12515.090,6664,25322,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
71,0.995,6160.084,3863,16724,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
72,1.230,11172.396,6240,19974,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
73,0.848,6040.658,4084,10280,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
74,3.137,12270.100,6431,24621,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
75,1.944,14726.171,7768,27478,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
76,1.172,12743.835,6746,22837,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
77,1.583,12150.321,6165,26613,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
78,1.331,12601.047,7241,27145,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
79,0.701,13707.443,9012,26840,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
80,2.385,14601.224,7433,31545,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
81,0.781,7763.210,4953,11811,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
82,1.272,11970.267,7153,19755,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
83,1.566,19912.646,10994,37358,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
84,1.029,13936.980,8043,32965,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
85,1.188,13831.322,7936,20502,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
86,1.020,8617.379,5501,13612,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
87,1.314,14165.412,7044,36037,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
88,1.142,11503.401,5244,19563,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
89,1.537,14057.052,9104,21780,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
90,1.193,10044.391,5365,22373,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
91,1.104,9761.643,6066,17324,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
92,1.789,5398.153,3462,12003,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
93,1.096,9743.854,5416,20492,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
94,1.104,12523.141,7450,20006,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
95,0.907,6837.917,4967,13101,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
96,1.751,12885.410,7319,28491,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
97,1.348,5137.470,3719,8493,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
98,0.974,8721.052,5148,23121,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
99,1.096,7980.069,4368,18213,SUM_Nup133_UN_07_R3D_D3D.tifnuclei_GCN4.csv
 ,Area,Mean,Min,Max,SUM_Nup145_TET_01_R3D_D3D.tifnuclei_GCN4.csv
1,1.046,21521.044,13193,40794,SUM_Nup145_TET_01_R3D_D3D.tifnuclei_GCN4.csv
2,1.327,17885.263,11570,30065,SUM_Nup145_TET_01_R3D_D3D.tifnuclei_GCN4.csv
3,1.877,31613.989,17735,110244,SUM_Nup145_TET_01_R3D_D3D.tifnuclei_GCN4.csv
4,1.730,53283.876,31453,88866,SUM_Nup145_TET_01_R3D_D3D.tifnuclei_GCN4.csv
5,1.428,29655.997,14680,64344,SUM_Nup145_TET_01_R3D_D3D.tifnuclei_GCN4.csv
6,2.083,21820.490,12801,54516,SUM_Nup145_TET_01_R3D_D3D.tifnuclei_GCN4.csv
7,1.650,54725.265,35500,101656,SUM_Nup145_TET_01_R3D_D3D.tifnuclei_GCN4.csv
8,2.377,18690.290,13409,33142,SUM_Nup145_TET_01_R3D_D3D.tifnuclei_GCN4.csv
9,2.477,24155.861,15534,43493,SUM_Nup145_TET_01_R3D_D3D.tifnuclei_GCN4.csv
10,2.570,72271.098,41812,122000,SUM_Nup145_TET_01_R3D_D3D.tifnuclei_GCN4.csv
11,0.542,58785.473,37996,98782,SUM_Nup145_TET_01_R3D_D3D.tifnuclei_GCN4.csv
12,1.113,26337.034,14459,43869,SUM_Nup145_TET_01_R3D_D3D.tifnuclei_GCN4.csv
13,1.638,18261.854,12411,31832,SUM_Nup145_TET_01_R3D_D3D.tifnuclei_GCN4.csv
14,0.567,21246.437,12915,35545,SUM_Nup145_TET_01_R3D_D3D.tifnuclei_GCN4.csv
15,1.285,15560.696,10164,28441,SUM_Nup145_TET_01_R3D_D3D.tifnuclei_GCN4.csv
16,1.457,21331.104,13776,43931,SUM_Nup145_TET_01_R3D_D3D.tifnuclei_GCN4.csv
 ,Area,Mean,Min,Max,SUM_Nup145_TET_02_R3D_D3D.tifnuclei_GCN4.csv
1,0.693,18264.673,10568,57055,SUM_Nup145_TET_02_R3D_D3D.tifnuclei_GCN4.csv
2,1.352,11738.655,8021,21457,SUM_Nup145_TET_02_R3D_D3D.tifnuclei_GCN4.csv
3,2.465,23543.068,14106,56352,SUM_Nup145_TET_02_R3D_D3D.tifnuclei_GCN4.csv
4,1.041,13892.524,9794,24150,SUM_Nup145_TET_02_R3D_D3D.tifnuclei_GCN4.csv
5,1.071,62421.675,43375,84790,SUM_Nup145_TET_02_R3D_D3D.tifnuclei_GCN4.csv
6,4.207,40812.370,20158,73874,SUM_Nup145_TET_02_R3D_D3D.tifnuclei_GCN4.csv
7,1.730,18215.388,13102,28937,SUM_Nup145_TET_02_R3D_D3D.tifnuclei_GCN4.csv
8,1.155,16847.989,11039,35142,SUM_Nup145_TET_02_R3D_D3D.tifnuclei_GCN4.csv
9,1.990,21141.049,13381,37650,SUM_Nup145_TET_02_R3D_D3D.tifnuclei_GCN4.csv
10,3.649,25799.244,15517,57647,SUM_Nup145_TET_02_R3D_D3D.tifnuclei_GCN4.csv
11,0.579,19363.645,13105,55170,SUM_Nup145_TET_02_R3D_D3D.tifnuclei_GCN4.csv
12,1.457,28137.654,19396,50409,SUM_Nup145_TET_02_R3D_D3D.tifnuclei_GCN4.csv
13,1.843,42208.811,22013,126649,SUM_Nup145_TET_02_R3D_D3D.tifnuclei_GCN4.csv
14,1.352,35737.121,16394,70158,SUM_Nup145_TET_02_R3D_D3D.tifnuclei_GCN4.csv
 ,Area,Mean,Min,Max,SUM_Nup145_TET_03_R3D_D3D.tifnuclei_GCN4.csv
1,0.768,13047.306,9755,26154,SUM_Nup145_TET_03_R3D_D3D.tifnuclei_GCN4.csv
2,1.902,19015.775,11748,36618,SUM_Nup145_TET_03_R3D_D3D.tifnuclei_GCN4.csv
3,1.537,24643.101,14897,49592,SUM_Nup145_TET_03_R3D_D3D.tifnuclei_GCN4.csv
4,1.226,15272.493,11567,23037,SUM_Nup145_TET_03_R3D_D3D.tifnuclei_GCN4.csv
5,2.532,32467.685,20650,75274,SUM_Nup145_TET_03_R3D_D3D.tifnuclei_GCN4.csv
6,1.738,13718.626,10459,21925,SUM_Nup145_TET_03_R3D_D3D.tifnuclei_GCN4.csv
